estratopri,ur,coll1,sexo_std,ur_num,age_gender_clean,ed_clean,colocup4an_clean,etid_clean,cs1_num,cs5_num,cs7_num,infrax_clean,wc1_clean,wc2_clean,wc3_clean,trust_num,leg_num,l1_clean,just1_clean,resp1_clean,poley1_clean,poley2_clean,poley3_clean,pr1_clean,pr5_num,pet1_num,pet3_num,effec1_num,effec2_num,eff1_num,eff2_num,aoj21_clean,prot3_clean,colseg_clean,cp6_clean,cp13_clean,colcp8a_clean,pn4_clean,noncontacts_num,refusal_num,resp1_likert,just1_likert,poley1_likert,poley2_likert,poley3_likert
Orinoquía-Amazonía,Rural,,Hombre,0,Hombre adulto mayor,12,Trabajando?,Blanca,5,4,4,Entre 10 y hasta 30 minutos,No,No,No,3,4,4,Algunas veces,Rara vez,Rara vez,Algunas veces,Rara vez,5,4,5,3,4,3,4,3,Delincuentes comunes,No ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,2.0,3.0,2.0,3.0,2.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto mayor,8,Trabajando?,Mestiza,4,5,4,Entre 10 y hasta 30 minutos,Sí,No,No,4,6,5,Algunas veces,Rara vez,Rara vez,Algunas veces,Rara vez,Propia,4,4,3,3,4,4,3,Delincuentes comunes,No ha participado,Peor,Nunca,Una o dos veces al año,Una o dos veces al mes,Insatisfecho(a),0,0,2.0,3.0,2.0,3.0,2.0
Orinoquía-Amazonía,Rural,,Mujer,0,Mujer adulta joven,12,Trabajando?,Blanca,4,3,2,Más de 30 minutos y hasta una hora,No,No,No,2,3,Izquierda,Rara vez,Rara vez,Rara vez,Rara vez,Rara vez,Propia,4,3,2,4,4,4,6,Crimen organiado y narcotraficantes,No ha participado,Igual,Una o dos veces al mes,Una o dos veces al año,Nunca,Satisfecho(a),0,0,2.0,2.0,2.0,2.0,2.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Mujer adulta joven,11,Está buscando trabajo activamente?,Blanca,2,4,3,Entre 10 y hasta 30 minutos,No,Sí,No,4,3,6,Rara vez,Frecuentemente,Rara vez,Rara vez,Frecuentemente,Propia,4,4,4,4,5,2,3,Guerrillas,No ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,4.0,2.0,2.0,2.0,4.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Mujer adulta mayor,11,Trabajando?,Blanca,3,4,2,Más de 30 minutos y hasta una hora,No,No,No,4,2,3,Algunas veces,Algunas veces,Frecuentemente,Rara vez,Algunas veces,Propia,4,3,4,3,2,2,2,Guerrillas,No ha participado,Peor,Una vez a la semana,Una o dos veces al año,Una o dos veces al mes,Satisfecho(a),0,0,3.0,3.0,4.0,2.0,3.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto joven,14,Trabajando?,Mestiza,5,5,4,Más de 30 minutos y hasta una hora,No,Sí,No,4,4,5,Rara vez,Frecuentemente,Nunca,Rara vez,Algunas veces,Prestada/cedida o compartida,5,4,3,4,4,1,4,Crimen organiado y narcotraficantes,No ha participado,Peor,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,4.0,2.0,1.0,2.0,3.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto mayor,11,Trabajando?,Blanca,2,3,2,Entre 10 y hasta 30 minutos,No,No,No,5,6,8,Frecuentemente,Frecuentemente,Rara vez,Rara vez,Rara vez,Otra situación,2,5,3,5,5,4,5,Pandillas,No ha participado,Peor,Una o dos veces al mes,Una o dos veces al año,Una o dos veces al mes,Insatisfecho(a),0,0,4.0,4.0,2.0,2.0,2.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto joven,14,Trabajando?,Blanca,4,3,4,Entre 10 y hasta 30 minutos,No,No,No,4,5,4,Algunas veces,Frecuentemente,Algunas veces,Rara vez,Nunca,5,3,5,3,5,3,4,3,Delincuentes comunes,No ha participado,Peor,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,4.0,3.0,3.0,2.0,1.0
Orinoquía-Amazonía,Rural,,Mujer,0,Mujer adulta joven,11,Es estudiante?,Blanca,6,5,4,Más de 30 minutos y hasta una hora,No,No,No,5,5,6,Algunas veces,Frecuentemente,Algunas veces,Rara vez,Frecuentemente,Otra situación,5,3,1,6,6,5,5,Guerrillas,No ha participado,Igual,Nunca,Nunca,Nunca,Insatisfecho(a),0,0,4.0,3.0,3.0,2.0,4.0
Orinoquía-Amazonía,Urbano,,Mujer,1,Hombre adulto mayor,16,Trabajando?,Blanca,4,4,5,Entre 10 y hasta 30 minutos,No,No,No,4,5,4,Rara vez,Rara vez,Algunas veces,Rara vez,Algunas veces,Otra situación,3,3,5,4,4,4,5,Delincuentes comunes,No ha participado,Igual,Una o dos veces al mes,Nunca,Nunca,Insatisfecho(a),0,0,2.0,2.0,3.0,2.0,3.0
